State,State Code,Deaths,Births,Death Rate,Abortion Ban Category,AbortionBanNum,HHINCOME,female_rate,age_rate,white_rate,black_rate,asian_rate,other_race_rate,hispanic_rate,hc_no,hc_priv,hc_med,ed_nohs,ed_hs,ed_some_col,ed_bach,ed_grad,emp_rate,Region
Alabama,1.0,389.0,58149.0,6.69,Total abortion ban,7,70000.0,0.5152966265994572,0.3388910430399379,0.7100814269096549,0.1965878247382706,0.0067468010856921,0.0028499418379216,0.003702985653354,0.1771616905777433,0.6663823187281892,0.1564559906940674,0.0550019387359441,0.0666343544009305,0.0603916246607212,0.0239240015509887,0.0263474214811942,0.0168879162623614,South
Alaska,2.0,62.0,9359.0,6.62,No gestational ban,1,87250.0,0.4703098106712564,0.4142283419391853,0.4969879518072289,0.0180722891566265,0.2980493402180149,0.0015777395295467,0.0094664371772805,0.1689615605278256,0.5539300057372346,0.2771084337349397,0.0688468158347676,0.0874928284566838,0.0688468158347676,0.0226620768789443,0.0256741250717154,0.0345585925227772,Pacific
Arizona,4.0,485.0,78547.0,6.17,15-week ban,4,85000.0,0.505252653297911,0.3534853613474842,0.6207570833277143,0.0345906436691705,0.0639084055938397,0.0067563011611128,0.0062168759187086,0.1964721589146764,0.6316804444863997,0.1718473965989238,0.05755667336453,0.0662009628740576,0.0637061211279381,0.0203228460075789,0.0223052337734144,0.0195311388659705,West
Arkansas,5.0,272.0,35471.0,7.67,Total abortion ban,7,64300.0,0.5074149833802096,0.3472896957299923,0.7421695218614165,0.1148363589874712,0.0097801073894144,0.002620813091281,0.002077473791869,0.1878675530554845,0.5915686525185374,0.220563794425978,0.0594157504474558,0.0710496036819227,0.0619726412682178,0.0222129890053694,0.0272628483763743,0.0188158298394518,South
California,6.0,1724.0,419104.0,4.11,24-26-week ban,2,106100.0,0.5061009123886996,0.3932295594509818,0.4145015862627853,0.0459952297077237,0.0159827799095536,0.0492853509079149,0.0052278926607545,0.1332972025022304,0.646852655232622,0.2198501422651474,0.0724874799000948,0.0719225095929913,0.0693839778511188,0.0205460016207745,0.0194467381273151,0.025839393890091,Pacific
Colorado,8.0,283.0,62383.0,4.54,No gestational ban,1,105700.0,0.4996741364616233,0.3960996641098912,0.7517922494610718,0.0288263899333233,0.0111963369596096,0.0070185992881135,0.0062666065072441,0.150047626209455,0.7128390234120419,0.137113350378503,0.0517036814224361,0.0677461940809812,0.0538593940609281,0.0159088250530572,0.0185658662121288,0.0172371423556257,West
Connecticut,9.0,150.0,35332.0,4.25,24-26-week ban,2,115000.0,0.513339934170034,0.3533677647247719,0.7155663785490647,0.0753298188337927,0.0035590997885948,0.0170194546281677,0.0571329176590221,0.1229896438224196,0.7072974925740587,0.1697128636035216,0.053868179507078,0.0633947924750461,0.0533864968289223,0.0162166501645749,0.0177687387941876,0.0216384657949151,New England
Delaware,10.0,81.0,10816.0,7.49,24-26-week ban,2,98000.0,0.5297168343532829,0.3069183694637485,0.6927704594959029,0.1477025204854268,0.0052899076859246,0.0089202364899906,0.0219894201846281,0.130173218545794,0.7370604709055077,0.1327663105486982,0.0467793797323929,0.0600560107872627,0.0503059848563427,0.0126542889741728,0.0206410123431179,0.0169309901414487,Mid Atlantic
District of Columbia,11.0,44.0,8075.0,5.45,No gestational ban,1,145045.0,0.5333432569217029,0.523518904435844,0.4947901161059839,0.317058648407264,0.0041679071152128,0.0148853825543316,0.0064007144983626,0.0637094373325394,0.800089312295326,0.1362012503721345,0.0403393867222387,0.0525454004167907,0.0266448347722536,0.0125037213456385,0.0108663292646621,0.0261865793780687,Mid Atlantic
Florida,12.0,1342.0,224433.0,5.98,6-week ban,6,82900.0,0.5115450484162003,0.3259886409028508,0.619617169959458,0.1127920697523863,0.0051377646362012,0.0050597110179569,0.0464373114660765,0.2248632913833397,0.6395437995583083,0.1355929090583519,0.0507302604695154,0.0598946735292632,0.0518505594607872,0.0188476531113549,0.020073554056722,0.0182474121542448,South Atlantic
